YEAR,STATE,ENERGY SOURCE,GENERATION sum (Megawatthours)
1990,Alabama,Coal,107316230
1990,Alabama,Hydroelectric Conventional,20733014
1990,Alabama,Natural Gas,2041428
1990,Alabama,Nuclear,24103764
1990,Alabama,Other Biomass,95006
1990,Alabama,Other Gases,538952
1990,Alabama,Petroleum,276178
1990,Alabama,Wood and Wood Derived Fuels,4199694
1990,Alaska,Coal,1021146
1990,Alaska,Hydroelectric Conventional,1949042
1990,Alaska,Natural Gas,6932522
1990,Alaska,Petroleum,994232
1990,Alaska,Wind,0
1990,Alaska,Wood and Wood Derived Fuels,302070
1990,Arizona,Coal,63831220
1990,Arizona,Hydroelectric Conventional,14835152
1990,Arizona,Natural Gas,4667800
1990,Arizona,Nuclear,41195378
1990,Arizona,Petroleum,303734
1990,Arizona,Pumped Storage,499534
1990,Arizona,Wood and Wood Derived Fuels,215776
1990,Arkansas,Coal,38415870
1990,Arkansas,Hydroelectric Conventional,7309306
1990,Arkansas,Natural Gas,7157146
1990,Arkansas,Nuclear,22564106
1990,Arkansas,Other Biomass,30778
1990,Arkansas,Petroleum,159958
1990,Arkansas,Pumped Storage,85944
1990,Arkansas,Wood and Wood Derived Fuels,2476088
1990,California,Coal,5275354
1990,California,Geothermal,29042508
1990,California,Hydroelectric Conventional,47585134
1990,California,Natural Gas,148336616
1990,California,Nuclear,65385614
1990,California,Other,0
1990,California,Other Biomass,4235830
1990,California,Other Gases,4293484
1990,California,Petroleum,10947704
1990,California,Pumped Storage,1972504
1990,California,Solar Thermal and Photovoltaic,733336
1990,California,Wind,5517762
1990,California,Wood and Wood Derived Fuels,8243972
1990,Colorado,Coal,59629966
1990,Colorado,Hydroelectric Conventional,2839740
1990,Colorado,Natural Gas,2580184
1990,Colorado,Other Biomass,57980
1990,Colorado,Petroleum,54780
1990,Colorado,Pumped Storage,-66396
1990,Connecticut,Coal,7189290
1990,Connecticut,Hydroelectric Conventional,1141238
1990,Connecticut,Natural Gas,2502958
1990,Connecticut,Nuclear,39552500
1990,Connecticut,Other,0
1990,Connecticut,Other Biomass,2146620
1990,Connecticut,Other Gases,8
1990,Connecticut,Petroleum,17748932
1990,Connecticut,Pumped Storage,12948
1990,Delaware,Coal,10226958
1990,Delaware,Natural Gas,1526038
1990,Delaware,Other,12630
1990,Delaware,Other Gases,329762
1990,Delaware,Petroleum,3587612
1990,District of Columbia,Coal,0
1990,District of Columbia,Petroleum,722086
1990,Florida,Coal,120200514
1990,Florida,Hydroelectric Conventional,349208
1990,Florida,Natural Gas,37285366
1990,Florida,Nuclear,43559120
1990,Florida,Other,2906204
1990,Florida,Other Biomass,3346156
