,Total Coal production (Billion Btu),State
1960  ,11263,Alaska
1961  ,11497,Alaska
1962  ,13588,Alaska
1963  ,13307,Alaska
1964  ,11622,Alaska
1965  ,13931,Alaska
1966  ,14461,Alaska
1967  ,14430,Alaska
1968  ,11700,Alaska
1969  ,10405,Alaska
1970  ,8564,Alaska
1971  ,10889,Alaska
1972  ,10421,Alaska
1973  ,10826,Alaska
1974  ,10920,Alaska
1975  ,11950,Alaska
1976  ,11014,Alaska
1977  ,10998,Alaska
1978  ,11404,Alaska
1979  ,12308,Alaska
1980  ,12340,Alaska
1981  ,12605,Alaska
1982  ,12995,Alaska
1983  ,12262,Alaska
1984  ,13400,Alaska
1985  ,22355,Alaska
1986  ,24492,Alaska
1987  ,23275,Alaska
1988  ,27222,Alaska
1989  ,24679,Alaska
1990  ,26614,Alaska
1991  ,22402,Alaska
1992  ,23930,Alaska
1993  ,24976,Alaska
1994  ,24445,Alaska
1995  ,26489,Alaska
1996  ,23104,Alaska
1997  ,22620,Alaska
1998  ,20966,Alaska
1999  ,24414,Alaska
2000  ,25600,Alaska
2001  ,23618,Alaska
2002  ,17878,Alaska
2003  ,16864,Alaska
2004  ,23587,Alaska
2005  ,22682,Alaska
2006  ,22230,Alaska
2007  ,20654,Alaska
2008  ,23041,Alaska
2009  ,29016,Alaska
2010  ,33556,Alaska
2011  ,33524,Alaska
2012  ,31332,Alaska
2013  ,24917,Alaska
2014  ,22944,Alaska
2015  ,17747,Alaska
2016  ,13942,Alaska
2017  ,14365,Alaska
1960  ,318818,Alabama
1961  ,316466,Alabama
1962  ,315608,Alabama
1963  ,302842,Alabama
1964  ,353712,Alabama
1965  ,363440,Alabama
1966  ,348419,Alabama
1967  ,379465,Alabama
1968  ,402842,Alabama
1969  ,427738,Alabama
1970  ,503797,Alabama
1971  ,439720,Alabama
1972  ,510021,Alabama
1973  ,453403,Alabama
1974  ,463397,Alabama
1975  ,534693,Alabama
1976  ,508453,Alabama
1977  ,505588,Alabama
1978  ,492162,Alabama
1979  ,579943,Alabama
1980  ,633365,Alabama
1981  ,592489,Alabama
1982  ,645392,Alabama
1983  ,577139,Alabama
1984  ,657109,Alabama
1985  ,676254,Alabama
1986  ,634516,Alabama
1987  ,627490,Alabama
1988  ,649791,Alabama
1989  ,680322,Alabama
1990  ,707762,Alabama
1991  ,662161,Alabama
1992  ,623932,Alabama
1993  ,600869,Alabama
1994  ,568577,Alabama
1995  ,607150,Alabama
1996  ,607031,Alabama
1997  ,600683,Alabama
1998  ,568308,Alabama
1999  ,477574,Alabama
2000  ,472699,Alabama
2001  ,469962,Alabama
2002  ,460201,Alabama
2003  ,486363,Alabama
2004  ,531179,Alabama
2005  ,518423,Alabama
2006  ,443032,Alabama
2007  ,469036,Alabama
2008  ,506837,Alabama
2009  ,459529,Alabama
2010  ,493094,Alabama
2011  ,468671,Alabama
2012  ,488084,Alabama
2013  ,469162,Alabama
2014  ,414366,Alabama
2015  ,331420,Alabama
2016  ,247632,Alabama
2017  ,326748,Alabama
1960  ,9178,Arkansas
1961  ,8864,Arkansas
1962  ,5745,Arkansas
1963  ,4959,Arkansas
1964  ,4757,Arkansas
1965  ,5071,Arkansas
1966  ,5296,Arkansas
1967  ,4241,Arkansas
1968  ,4735,Arkansas
1969  ,5116,Arkansas
1970  ,6014,Arkansas
1971  ,6193,Arkansas
1972  ,9604,Arkansas
1973  ,9093,Arkansas
1974  ,10210,Arkansas
1975  ,10766,Arkansas
1976  ,11983,Arkansas
1977  ,12634,Arkansas
1978  ,12616,Arkansas
1979  ,5632,Arkansas
1980  ,7158,Arkansas
1981  ,5139,Arkansas
1982  ,3613,Arkansas
1983  ,1975,Arkansas
1984  ,1840,Arkansas
1985  ,1795,Arkansas
1986  ,3747,Arkansas
1987  ,1885,Arkansas
1988  ,6193,Arkansas
1989  ,1571,Arkansas
1990  ,1324,Arkansas
1991  ,1167,Arkansas
1992  ,1302,Arkansas
1993  ,987,Arkansas
1994  ,1144,Arkansas
1995  ,651,Arkansas
1996  ,471,Arkansas
1997  ,404,Arkansas
1998  ,539,Arkansas
1999  ,494,Arkansas
2000  ,269,Arkansas
2001  ,381,Arkansas
2002  ,314,Arkansas
2003  ,180,Arkansas
2004  ,157,Arkansas
2005  ,67,Arkansas
2006  ,516,Arkansas
2007  ,1863,Arkansas
2008  ,1548,Arkansas
2009  ,112,Arkansas
2010  ,718,Arkansas
2011  ,2985,Arkansas
2012  ,2077,Arkansas
2013  ,1433,Arkansas
2014  ,1864,Arkansas
2015  ,1819,Arkansas
2016  ,974,Arkansas
2017  ,832,Arkansas
1960  ,132,Arizona
1961  ,0,Arizona
1962  ,0,Arizona
1963  ,0,Arizona
1964  ,0,Arizona
1965  ,0,Arizona
1966  ,0,Arizona
1967  ,22,Arizona
1968  ,0,Arizona
1969  ,0,Arizona
1970  ,2915,Arizona
1971  ,25305,Arizona
1972  ,65228,Arizona
1973  ,71697,Arizona
1974  ,142379,Arizona
1975  ,154259,Arizona
1976  ,230085,Arizona
1977  ,244195,Arizona
1978  ,199923,Arizona
1979  ,251482,Arizona
1980  ,240795,Arizona
1981  ,256340,Arizona
1982  ,273011,Arizona
1983  ,251813,Arizona
1984  ,254419,Arizona
1985  ,212531,Arizona
1986  ,255170,Arizona
1987  ,251261,Arizona
1988  ,273762,Arizona
1989  ,263538,Arizona
1990  ,249018,Arizona
1991  ,290251,Arizona
1992  ,275298,Arizona
1993  ,267527,Arizona
1994  ,288013,Arizona
1995  ,262514,Arizona
1996  ,228630,Arizona
1997  ,256500,Arizona
1998  ,247729,Arizona
1999  ,258148,Arizona
2000  ,286772,Arizona
2001  ,293303,Arizona
2002  ,280064,Arizona
2003  ,262251,Arizona
2004  ,278231,Arizona
2005  ,263426,Arizona
2006  ,179356,Arizona
2007  ,173934,Arizona
2008  ,173998,Arizona
2009  ,160706,Arizona
2010  ,167930,Arizona
2011  ,174841,Arizona
2012  ,161374,Arizona
2013  ,163691,Arizona
2014  ,173337,Arizona
2015  ,146450,Arizona
2016  ,116678,Arizona
2017  ,134024,Arizona
1960  ,0,California
1961  ,0,California
1962  ,0,California
1963  ,0,California
1964  ,0,California
1965  ,0,California
1966  ,0,California
1967  ,0,California
1968  ,0,California
1969  ,0,California
1970  ,0,California
1971  ,0,California
1972  ,0,California
1973  ,0,California
1974  ,0,California
1975  ,0,California
1976  ,0,California
1977  ,0,California
1978  ,0,California
1979  ,0,California
1980  ,0,California
1981  ,0,California
1982  ,0,California
1983  ,0,California
1984  ,0,California
1985  ,852,California
1986  ,0,California
1987  ,552,California
1988  ,648,California
1989  ,492,California
1990  ,732,California
1991  ,684,California
1992  ,1236,California
1993  ,0,California
1994  ,0,California
1995  ,0,California
1996  ,0,California
1997  ,0,California
1998  ,0,California
1999  ,0,California
2000  ,0,California
2001  ,0,California
2002  ,0,California
2003  ,0,California
2004  ,0,California
2005  ,0,California
2006  ,0,California
2007  ,0,California
2008  ,0,California
2009  ,0,California
2010  ,0,California
2011  ,0,California
2012  ,0,California
2013  ,0,California
2014  ,0,California
2015  ,0,California
2016  ,0,California
2017  ,0,California
1960  ,78755,Colorado
1961  ,80305,Colorado
1962  ,73777,Colorado
1963  ,80589,Colorado
1964  ,95087,Colorado
1965  ,104585,Colorado
1966  ,114017,Colorado
1967  ,118755,Colorado
1968  ,121353,Colorado
1969  ,120742,Colorado
1970  ,131549,Colorado
1971  ,116528,Colorado
1972  ,120567,Colorado
1973  ,132175,Colorado
1974  ,148561,Colorado
1975  ,172499,Colorado
1976  ,202169,Colorado
1977  ,261877,Colorado
1978  ,299886,Colorado
1979  ,404689,Colorado
1980  ,412459,Colorado
1981  ,433371,Colorado
1982  ,401325,Colorado
1983  ,365235,Colorado
1984  ,395572,Colorado
1985  ,379500,Colorado
1986  ,334055,Colorado
1987  ,316144,Colorado
1988  ,347421,Colorado
1989  ,365336,Colorado
1990  ,404530,Colorado
1991  ,384207,Colorado
1992  ,414384,Colorado
1993  ,475039,Colorado
1994  ,554832,Colorado
1995  ,565841,Colorado
1996  ,547155,Colorado
1997  ,598037,Colorado
1998  ,651411,Colorado
1999  ,662659,Colorado
2000  ,648023,Colorado
2001  ,741186,Colorado
2002  ,788220,Colorado
2003  ,801108,Colorado
2004  ,889060,Colorado
2005  ,857038,Colorado
2006  ,805711,Colorado
2007  ,815511,Colorado
2008  ,714673,Colorado
2009  ,614581,Colorado
2010  ,551825,Colorado
2011  ,586847,Colorado
2012  ,629645,Colorado
2013  ,529096,Colorado
2014  ,528242,Colorado
2015  ,403605,Colorado
2016  ,270920,Colorado
2017  ,320001,Colorado
1960  ,0,Connecticut
1961  ,0,Connecticut
1962  ,0,Connecticut
1963  ,0,Connecticut
1964  ,0,Connecticut
1965  ,0,Connecticut
1966  ,0,Connecticut
1967  ,0,Connecticut
1968  ,0,Connecticut
1969  ,0,Connecticut
1970  ,0,Connecticut
1971  ,0,Connecticut
1972  ,0,Connecticut
1973  ,0,Connecticut
1974  ,0,Connecticut
1975  ,0,Connecticut
1976  ,0,Connecticut
1977  ,0,Connecticut
1978  ,0,Connecticut
1979  ,0,Connecticut
1980  ,0,Connecticut
1981  ,0,Connecticut
1982  ,0,Connecticut
1983  ,0,Connecticut
1984  ,0,Connecticut
1985  ,0,Connecticut
1986  ,0,Connecticut
1987  ,0,Connecticut
1988  ,0,Connecticut
1989  ,0,Connecticut
1990  ,0,Connecticut
1991  ,0,Connecticut
1992  ,0,Connecticut
1993  ,0,Connecticut
1994  ,0,Connecticut
1995  ,0,Connecticut
1996  ,0,Connecticut
1997  ,0,Connecticut
1998  ,0,Connecticut
1999  ,0,Connecticut
2000  ,0,Connecticut
2001  ,0,Connecticut
2002  ,0,Connecticut
2003  ,0,Connecticut
2004  ,0,Connecticut
2005  ,0,Connecticut
2006  ,0,Connecticut
2007  ,0,Connecticut
2008  ,0,Connecticut
2009  ,0,Connecticut
2010  ,0,Connecticut
2011  ,0,Connecticut
2012  ,0,Connecticut
2013  ,0,Connecticut
