,Total Crude Oil production (Billion Btu),State
1960  ,3242,Alaska
1961  ,36697,Alaska
1962  ,59502,Alaska
1963  ,62292,Alaska
1964  ,64142,Alaska
1965  ,64542,Alaska
1966  ,83276,Alaska
1967  ,168931,Alaska
1968  ,383983,Alaska
1969  ,428927,Alaska
1970  ,484973,Alaska
1971  ,461065,Alaska
1972  ,422779,Alaska
1973  ,419473,Alaska
1974  ,409497,Alaska
1975  ,405037,Alaska
1976  ,367708,Alaska
1977  ,981366,Alaska
1978  ,2601996,Alaska
1979  ,2965743,Alaska
1980  ,3431547,Alaska
1981  ,3406555,Alaska
1982  ,3589678,Alaska
1983  ,3628057,Alaska
1984  ,3656326,Alaska
1985  ,3864151,Alaska
1986  ,3951598,Alaska
1987  ,4152539,Alaska
1988  ,4281229,Alaska
1989  ,3967078,Alaska
1990  ,3754392,Alaska
1991  ,3806824,Alaska
1992  ,3638468,Alaska
1993  ,3349471,Alaska
1994  ,3299916,Alaska
1995  ,3141593,Alaska
1996  ,2957994,Alaska
1997  ,2743104,Alaska
1998  ,2487330,Alaska
1999  ,2222554,Alaska
2000  ,2060154,Alaska
2001  ,2038184,Alaska
2002  ,2084416,Alaska
2003  ,2062497,Alaska
2004  ,1928158,Alaska
2005  ,1829245,Alaska
2006  ,1568790,Alaska
2007  ,1528851,Alaska
2008  ,1449379,Alaska
2009  ,1365958,Alaska
2010  ,1269643,Alaska
2011  ,1188008,Alaska
2012  ,1115926,Alaska
2013  ,1089953,Alaska
2014  ,1050554,Alaska
2015  ,1007535,Alaska
2016  ,1025205,Alaska
2017  ,1032813,Alaska
1960  ,42508,Alabama
1961  ,40200,Alabama
1962  ,43343,Alabama
1963  ,53215,Alabama
1964  ,49288,Alabama
1965  ,46771,Alabama
1966  ,46574,Alabama
1967  ,42618,Alabama
1968  ,44283,Alabama
1969  ,44666,Alabama
1970  ,42125,Alabama
1971  ,45426,Alabama
1972  ,57617,Alabama
1973  ,67727,Alabama
1974  ,77273,Alabama
1975  ,78167,Alabama
1976  ,85295,Alabama
1977  ,105862,Alabama
1978  ,115008,Alabama
1979  ,111134,Alabama
1980  ,128487,Alabama
1981  ,119944,Alabama
1982  ,116081,Alabama
1983  ,108727,Alabama
1984  ,114863,Alabama
1985  ,125170,Alabama
1986  ,122508,Alabama
1987  ,119521,Alabama
1988  ,120623,Alabama
1989  ,114915,Alabama
1990  ,107520,Alabama
1991  ,108095,Alabama
1992  ,110345,Alabama
1993  ,108327,Alabama
1994  ,106401,Alabama
1995  ,108640,Alabama
1996  ,97834,Alabama
1997  ,86026,Alabama
1998  ,71908,Alabama
1999  ,64513,Alabama
2000  ,60651,Alabama
2001  ,54137,Alabama
2002  ,50089,Alabama
2003  ,45785,Alabama
2004  ,43169,Alabama
2005  ,45594,Alabama
2006  ,43726,Alabama
2007  ,41592,Alabama
2008  ,44637,Alabama
2009  ,41696,Alabama
2010  ,41499,Alabama
2011  ,48563,Alabama
2012  ,55245,Alabama
2013  ,60366,Alabama
2014  ,56985,Alabama
2015  ,55421,Alabama
2016  ,46388,Alabama
2017  ,39071,Alabama
1960  ,174679,Arkansas
1961  ,169627,Arkansas
1962  ,160364,Arkansas
1963  ,158955,Arkansas
1964  ,155075,Arkansas
1965  ,150394,Arkansas
1966  ,138179,Arkansas
1967  ,122235,Arkansas
1968  ,112891,Arkansas
1969  ,104684,Arkansas
1970  ,104603,Arkansas
1971  ,105925,Arkansas
1972  ,107410,Arkansas
1973  ,104493,Arkansas
1974  ,95857,Arkansas
1975  ,93571,Arkansas
1976  ,104963,Arkansas
1977  ,117172,Arkansas
1978  ,117908,Arkansas
1979  ,109440,Arkansas
1980  ,105618,Arkansas
1981  ,106442,Arkansas
1982  ,109324,Arkansas
1983  ,109324,Arkansas
1984  ,108634,Arkansas
1985  ,110455,Arkansas
1986  ,91512,Arkansas
1987  ,82534,Arkansas
1988  ,78915,Arkansas
1989  ,65314,Arkansas
1990  ,60239,Arkansas
1991  ,59769,Arkansas
1992  ,59508,Arkansas
1993  ,57855,Arkansas
1994  ,55494,Arkansas
1995  ,51678,Arkansas
1996  ,51121,Arkansas
1997  ,48888,Arkansas
