,Total Natural Gas production (Billion Btu),State
1960  ,248,Alaska
1961  ,637,Alaska
1962  ,2205,Alaska
1963  ,4541,Alaska
1964  ,6332,Alaska
1965  ,7325,Alaska
1966  ,11375,Alaska
1967  ,14576,Alaska
1968  ,17509,Alaska
1969  ,51351,Alaska
1970  ,112645,Alaska
1971  ,122431,Alaska
1972  ,127781,Alaska
1973  ,134307,Alaska
1974  ,131800,Alaska
1975  ,163529,Alaska
1976  ,169361,Alaska
1977  ,191457,Alaska
1978  ,204926,Alaska
1979  ,222236,Alaska
1980  ,232362,Alaska
1981  ,244752,Alaska
1982  ,265384,Alaska
1983  ,278162,Alaska
1984  ,295524,Alaska
1985  ,336888,Alaska
1986  ,315840,Alaska
1987  ,404883,Alaska
1988  ,431611,Alaska
1989  ,436710,Alaska
1990  ,432880,Alaska
1991  ,501639,Alaska
1992  ,513416,Alaska
1993  ,497716,Alaska
1994  ,622300,Alaska
1995  ,547493,Alaska
1996  ,557204,Alaska
1997  ,552678,Alaska
1998  ,547045,Alaska
1999  ,541668,Alaska
2000  ,549234,Alaska
2001  ,553301,Alaska
2002  ,539400,Alaska
2003  ,562687,Alaska
2004  ,543764,Alaska
2005  ,548394,Alaska
2006  ,497073,Alaska
2007  ,489308,Alaska
2008  ,448503,Alaska
2009  ,443666,Alaska
2010  ,419310,Alaska
2011  ,405691,Alaska
2012  ,399421,Alaska
2013  ,380655,Alaska
2014  ,381937,Alaska
2015  ,380887,Alaska
2016  ,369864,Alaska
2017  ,382663,Alaska
1960  ,93,Alabama
1961  ,91,Alabama
1962  ,208,Alabama
1963  ,288,Alabama
1964  ,270,Alabama
1965  ,330,Alabama
1966  ,410,Alabama
1967  ,403,Alabama
1968  ,374,Alabama
1969  ,293,Alabama
1970  ,1019,Alabama
1971  ,860,Alabama
1972  ,4181,Alabama
1973  ,11931,Alabama
1974  ,29460,Alabama
1975  ,39999,Alabama
1976  ,43708,Alabama
1977  ,60447,Alabama
1978  ,91329,Alabama
1979  ,96524,Alabama
1980  ,75378,Alabama
1981  ,90084,Alabama
1982  ,87056,Alabama
1983  ,101942,Alabama
1984  ,113438,Alabama
1985  ,119997,Alabama
1986  ,118751,Alabama
1987  ,129014,Alabama
1988  ,141278,Alabama
1989  ,140473,Alabama
1990  ,147464,Alabama
1991  ,183772,Alabama
1992  ,292337,Alabama
1993  ,319576,Alabama
1994  ,415752,Alabama
1995  ,395302,Alabama
1996  ,399761,Alabama
1997  ,411570,Alabama
1998  ,414185,Alabama
1999  ,422526,Alabama
2000  ,414417,Alabama
2001  ,391253,Alabama
2002  ,390053,Alabama
2003  ,374804,Alabama
2004  ,348224,Alabama
2005  ,327318,Alabama
2006  ,326288,Alabama
2007  ,307971,Alabama
2008  ,289280,Alabama
2009  ,267121,Alabama
2010  ,256117,Alabama
2011  ,225570,Alabama
2012  ,229914,Alabama
2013  ,211258,Alabama
2014  ,195614,Alabama
2015  ,182481,Alabama
2016  ,176290,Alabama
2017  ,159695,Alabama
1960  ,57339,Arkansas
1961  ,61574,Arkansas
1962  ,68467,Arkansas
1963  ,78691,Arkansas
1964  ,78760,Arkansas
1965  ,85651,Arkansas
1966  ,108754,Arkansas
1967  ,120488,Arkansas
1968  ,161958,Arkansas
1969  ,175018,Arkansas
1970  ,187524,Arkansas
1971  ,177416,Arkansas
1972  ,169310,Arkansas
1973  ,159276,Arkansas
1974  ,125426,Arkansas
1975  ,117327,Arkansas
1976  ,110525,Arkansas
