,Total Nuclear production (Billion Btu),State
1960  ,0,Alaska
1961  ,0,Alaska
1962  ,0,Alaska
1963  ,0,Alaska
1964  ,0,Alaska
1965  ,0,Alaska
1966  ,0,Alaska
1967  ,0,Alaska
1968  ,0,Alaska
1969  ,0,Alaska
1970  ,0,Alaska
1971  ,0,Alaska
1972  ,0,Alaska
1973  ,0,Alaska
1974  ,0,Alaska
1975  ,0,Alaska
1976  ,0,Alaska
1977  ,0,Alaska
1978  ,0,Alaska
1979  ,0,Alaska
1980  ,0,Alaska
1981  ,0,Alaska
1982  ,0,Alaska
1983  ,0,Alaska
1984  ,0,Alaska
1985  ,0,Alaska
1986  ,0,Alaska
1987  ,0,Alaska
1988  ,0,Alaska
1989  ,0,Alaska
1990  ,0,Alaska
1991  ,0,Alaska
1992  ,0,Alaska
1993  ,0,Alaska
1994  ,0,Alaska
1995  ,0,Alaska
1996  ,0,Alaska
1997  ,0,Alaska
1998  ,0,Alaska
1999  ,0,Alaska
2000  ,0,Alaska
2001  ,0,Alaska
2002  ,0,Alaska
2003  ,0,Alaska
2004  ,0,Alaska
2005  ,0,Alaska
2006  ,0,Alaska
2007  ,0,Alaska
2008  ,0,Alaska
2009  ,0,Alaska
2010  ,0,Alaska
2011  ,0,Alaska
2012  ,0,Alaska
2013  ,0,Alaska
2014  ,0,Alaska
2015  ,0,Alaska
2016  ,0,Alaska
2017  ,0,Alaska
2018  ,0,Alaska
1960  ,0,Alabama
1961  ,0,Alabama
1962  ,0,Alabama
1963  ,0,Alabama
1964  ,0,Alabama
1965  ,0,Alabama
1966  ,0,Alabama
1967  ,0,Alabama
1968  ,0,Alabama
1969  ,0,Alabama
1970  ,0,Alabama
1971  ,0,Alabama
1972  ,0,Alabama
1973  ,3425,Alabama
1974  ,70195,Alabama
1975  ,29978,Alabama
1976  ,46557,Alabama
1977  ,210228,Alabama
1978  ,249788,Alabama
1979  ,240321,Alabama
1980  ,256310,Alabama
1981  ,260780,Alabama
1982  ,306734,Alabama
1983  ,274203,Alabama
1984  ,262518,Alabama
1985  ,152028,Alabama
1986  ,122308,Alabama
1987  ,117450,Alabama
1988  ,137623,Alabama
1989  ,121962,Alabama
1990  ,127533,Alabama
1991  ,166430,Alabama
1992  ,203111,Alabama
1993  ,187216,Alabama
1994  ,214054,Alabama
1995  ,218045,Alabama
1996  ,312018,Alabama
1997  ,310336,Alabama
1998  ,300698,Alabama
1999  ,322826,Alabama
2000  ,327143,Alabama
2001  ,317019,Alabama
2002  ,332650,Alabama
2003  ,330137,Alabama
2004  ,329898,Alabama
2005  ,330761,Alabama
2006  ,332992,Alabama
2007  ,360036,Alabama
2008  ,407551,Alabama
2009  ,415392,Alabama
2010  ,396557,Alabama
2011  ,411822,Alabama
2012  ,427975,Alabama
2013  ,426488,Alabama
2014  ,431368,Alabama
2015  ,438728,Alabama
2016  ,417334,Alabama
2017  ,446097,Alabama
2018  ,412584,Alabama
1960  ,0,Arkansas
1961  ,0,Arkansas
1962  ,0,Arkansas
1963  ,0,Arkansas
1964  ,0,Arkansas
1965  ,0,Arkansas
1966  ,0,Arkansas
1967  ,0,Arkansas
1968  ,0,Arkansas
1969  ,0,Arkansas
1970  ,0,Arkansas
1971  ,0,Arkansas
1972  ,0,Arkansas
1973  ,0,Arkansas
1974  ,4024,Arkansas
1975  ,53676,Arkansas
1976  ,42614,Arkansas
1977  ,54759,Arkansas
1978  ,57113,Arkansas
1979  ,42139,Arkansas
1980  ,85438,Arkansas
1981  ,100093,Arkansas
1982  ,82852,Arkansas
1983  ,83380,Arkansas
1984  ,117188,Arkansas
1985  ,105042,Arkansas
1986  ,93900,Arkansas
1987  ,118720,Arkansas
1988  ,94309,Arkansas
1989  ,93599,Arkansas
1990  ,119387,Arkansas
1991  ,132746,Arkansas
1992  ,118591,Arkansas
1993  ,142032,Arkansas
1994  ,145531,Arkansas
1995  ,122486,Arkansas
1996  ,140285,Arkansas
1997  ,149100,Arkansas
1998  ,137403,Arkansas
1999  ,135009,Arkansas
2000  ,121516,Arkansas
2001  ,154356,Arkansas
2002  ,152024,Arkansas
2003  ,153093,Arkansas
2004  ,161111,Arkansas
2005  ,142864,Arkansas
2006  ,158952,Arkansas
2007  ,162434,Arkansas
2008  ,148085,Arkansas
2009  ,158663,Arkansas
2010  ,157017,Arkansas
2011  ,148531,Arkansas
2012  ,162353,Arkansas
2013  ,124816,Arkansas
2014  ,151428,Arkansas
2015  ,144716,Arkansas
2016  ,140370,Arkansas
2017  ,132736,Arkansas
2018  ,132996,Arkansas
1960  ,0,Arizona
1961  ,0,Arizona
1962  ,0,Arizona
1963  ,0,Arizona
1964  ,0,Arizona
1965  ,0,Arizona
1966  ,0,Arizona
1967  ,0,Arizona
1968  ,0,Arizona
1969  ,0,Arizona
1970  ,0,Arizona
1971  ,0,Arizona
1972  ,0,Arizona
1973  ,0,Arizona
1974  ,0,Arizona
1975  ,0,Arizona
1976  ,0,Arizona
1977  ,0,Arizona
1978  ,0,Arizona
1979  ,0,Arizona
1980  ,0,Arizona
1981  ,0,Arizona
1982  ,0,Arizona
1983  ,0,Arizona
1984  ,0,Arizona
1985  ,12005,Arizona
1986  ,105540,Arizona
1987  ,140532,Arizona
1988  ,243215,Arizona
1989  ,83080,Arizona
1990  ,217965,Arizona
1991  ,263104,Arizona
1992  ,268149,Arizona
1993  ,231601,Arizona
1994  ,242182,Arizona
1995  ,283526,Arizona
1996  ,302902,Arizona
1997  ,307623,Arizona
1998  ,317888,Arizona
1999  ,317843,Arizona
2000  ,316839,Arizona
2001  ,299966,Arizona
2002  ,322260,Arizona
2003  ,297872,Arizona
2004  ,293158,Arizona
2005  ,269327,Arizona
2006  ,250568,Arizona
2007  ,280920,Arizona
2008  ,305726,Arizona
2009  ,320692,Arizona
2010  ,326102,Arizona
2011  ,327292,Arizona
2012  ,334636,Arizona
2013  ,328423,Arizona
2014  ,338044,Arizona
2015  ,340153,Arizona
2016  ,338636,Arizona
2017  ,338246,Arizona
2018  ,325122,Arizona
1960  ,1,California
1961  ,55,California
1962  ,84,California
1963  ,2288,California
1964  ,4369,California
1965  ,3193,California
1966  ,1895,California
1967  ,6503,California
1968  ,17003,California
1969  ,27127,California
1970  ,34375,California
1971  ,38137,California
1972  ,34266,California
1973  ,28689,California
1974  ,41277,California
1975  ,66855,California
1976  ,53107,California
1977  ,87396,California
1978  ,83801,California
1979  ,95320,California
1980  ,53665,California
1981  ,35367,California
1982  ,41357,California
1983  ,61214,California
1984  ,153366,California
1985  ,209565,California
1986  ,277332,California
1987  ,317298,California
1988  ,327209,California
1989  ,344146,California
1990  ,345955,California
1991  ,330684,California
1992  ,369043,California
1993  ,331724,California
1994  ,352778,California
1995  ,317794,California
1996  ,358119,California
1997  ,320194,California
1998  ,362928,California
1999  ,348736,California
2000  ,366845,California
2001  ,346911,California
2002  ,358707,California
2003  ,370958,California
2004  ,315634,California
2005  ,377313,California
2006  ,333488,California
2007  ,375427,California
2008  ,339506,California
2009  ,332218,California
2010  ,336562,California
2011  ,383644,California
2012  ,193939,California
2013  ,187162,California
2014  ,177656,California
2015  ,193529,California
2016  ,197754,California
2017  ,187227,California
2018  ,190422,California
1960  ,0,Colorado
1961  ,0,Colorado
1962  ,0,Colorado
1963  ,0,Colorado
1964  ,0,Colorado
1965  ,0,Colorado
1966  ,0,Colorado
1967  ,0,Colorado
1968  ,0,Colorado
1969  ,0,Colorado
1970  ,0,Colorado
1971  ,0,Colorado
1972  ,0,Colorado
1973  ,0,Colorado
1974  ,0,Colorado
1975  ,0,Colorado
1976  ,0,Colorado
1977  ,2421,Colorado
1978  ,6664,Colorado
1979  ,2316,Colorado
1980  ,7273,Colorado
1981  ,8261,Colorado
1982  ,6299,Colorado
1983  ,8162,Colorado
1984  ,598,Colorado
1985  ,-337,Colorado
1986  ,550,Colorado
1987  ,1812,Colorado
1988  ,6994,Colorado
1989  ,5600,Colorado
1990  ,0,Colorado
1991  ,0,Colorado
1992  ,0,Colorado
1993  ,0,Colorado
1994  ,0,Colorado
1995  ,0,Colorado
1996  ,0,Colorado
1997  ,0,Colorado
1998  ,0,Colorado
1999  ,0,Colorado
2000  ,0,Colorado
2001  ,0,Colorado
2002  ,0,Colorado
2003  ,0,Colorado
2004  ,0,Colorado
2005  ,0,Colorado
2006  ,0,Colorado
2007  ,0,Colorado
2008  ,0,Colorado
2009  ,0,Colorado
2010  ,0,Colorado
2011  ,0,Colorado
2012  ,0,Colorado
2013  ,0,Colorado
2014  ,0,Colorado
2015  ,0,Colorado
2016  ,0,Colorado
2017  ,0,Colorado
2018  ,0,Colorado
1960  ,0,Connecticut
1961  ,0,Connecticut
1962  ,0,Connecticut
1963  ,0,Connecticut
1964  ,0,Connecticut
1965  ,0,Connecticut
1966  ,0,Connecticut
1967  ,6056,Connecticut
1968  ,33941,Connecticut
1969  ,40166,Connecticut
1970  ,39567,Connecticut
1971  ,84173,Connecticut
1972  ,83932,Connecticut
1973  ,46911,Connecticut
1974  ,88951,Connecticut
1975  ,89590,Connecticut
1976  ,136215,Connecticut
1977  ,141876,Connecticut
1978  ,151674,Connecticut
1979  ,138231,Connecticut
1980  ,129094,Connecticut
1981  ,139788,Connecticut
1982  ,150866,Connecticut
1983  ,126367,Connecticut
1984  ,154967,Connecticut
1985  ,135127,Connecticut
1986  ,197480,Connecticut
1987  ,214482,Connecticut
1988  ,235904,Connecticut
1989  ,207033,Connecticut
1990  ,209272,Connecticut
1991  ,128355,Connecticut
1992  ,175606,Connecticut
1993  ,229006,Connecticut
1994  ,210712,Connecticut
1995  ,196995,Connecticut
1996  ,65384,Connecticut
1997  ,-1309,Connecticut
1998  ,34022,Connecticut
1999  ,132456,Connecticut
2000  ,170674,Connecticut
2001  ,161112,Connecticut
2002  ,155777,Connecticut
2003  ,167566,Connecticut
2004  ,172470,Connecticut
2005  ,162406,Connecticut
2006  ,173111,Connecticut
2007  ,171874,Connecticut
2008  ,161305,Connecticut
2009  ,174220,Connecticut
2010  ,175074,Connecticut
2011  ,166669,Connecticut
2012  ,178959,Connecticut
2013  ,178465,Connecticut
2014  ,165677,Connecticut
2015  ,182083,Connecticut
2016  ,173363,Connecticut
2017  ,172570,Connecticut
2018  ,176496,Connecticut
1960  ,0,District of Columbia
1961  ,0,District of Columbia
1962  ,0,District of Columbia
1963  ,0,District of Columbia
1964  ,0,District of Columbia
1965  ,0,District of Columbia
1966  ,0,District of Columbia
1967  ,0,District of Columbia
1968  ,0,District of Columbia
1969  ,0,District of Columbia
1970  ,0,District of Columbia
1971  ,0,District of Columbia
1972  ,0,District of Columbia
1973  ,0,District of Columbia
1974  ,0,District of Columbia
1975  ,0,District of Columbia
1976  ,0,District of Columbia
1977  ,0,District of Columbia
1978  ,0,District of Columbia
1979  ,0,District of Columbia
1980  ,0,District of Columbia
1981  ,0,District of Columbia
1982  ,0,District of Columbia
1983  ,0,District of Columbia
1984  ,0,District of Columbia
1985  ,0,District of Columbia
1986  ,0,District of Columbia
1987  ,0,District of Columbia
1988  ,0,District of Columbia
1989  ,0,District of Columbia
1990  ,0,District of Columbia
1991  ,0,District of Columbia
1992  ,0,District of Columbia
1993  ,0,District of Columbia
1994  ,0,District of Columbia
1995  ,0,District of Columbia
1996  ,0,District of Columbia
1997  ,0,District of Columbia
1998  ,0,District of Columbia
1999  ,0,District of Columbia
2000  ,0,District of Columbia
2001  ,0,District of Columbia
2002  ,0,District of Columbia
2003  ,0,District of Columbia
2004  ,0,District of Columbia
2005  ,0,District of Columbia
2006  ,0,District of Columbia
2007  ,0,District of Columbia
2008  ,0,District of Columbia
2009  ,0,District of Columbia
2010  ,0,District of Columbia
2011  ,0,District of Columbia
2012  ,0,District of Columbia
2013  ,0,District of Columbia
2014  ,0,District of Columbia
