,Total Renewable Energy production (Billion Btu),State
1960  ,6800,Alaska
1961  ,7313,Alaska
1962  ,7453,Alaska
1963  ,7793,Alaska
1964  ,8102,Alaska
1965  ,8519,Alaska
1966  ,8328,Alaska
1967  ,8457,Alaska
1968  ,8486,Alaska
1969  ,8455,Alaska
1970  ,8835,Alaska
1971  ,9094,Alaska
1972  ,8673,Alaska
1973  ,7844,Alaska
1974  ,8329,Alaska
1975  ,8608,Alaska
1976  ,9201,Alaska
1977  ,11449,Alaska
1978  ,10809,Alaska
1979  ,10733,Alaska
1980  ,8321,Alaska
1981  ,9216,Alaska
1982  ,8745,Alaska
1983  ,9591,Alaska
1984  ,11152,Alaska
1985  ,11783,Alaska
1986  ,10706,Alaska
1987  ,12000,Alaska
1988  ,12759,Alaska
1989  ,18342,Alaska
1990  ,18357,Alaska
1991  ,17357,Alaska
1992  ,18300,Alaska
1993  ,20551,Alaska
1994  ,23587,Alaska
1995  ,22506,Alaska
1996  ,21187,Alaska
1997  ,14994,Alaska
1998  ,13291,Alaska
1999  ,10212,Alaska
2000  ,12204,Alaska
2001  ,16974,Alaska
2002  ,17922,Alaska
2003  ,19374,Alaska
2004  ,18416,Alaska
2005  ,15866,Alaska
2006  ,13298,Alaska
2007  ,14037,Alaska
2008  ,12913,Alaska
2009  ,15685,Alaska
2010  ,16965,Alaska
2011  ,16078,Alaska
2012  ,17796,Alaska
2013  ,18629,Alaska
2014  ,19790,Alaska
2015  ,23786,Alaska
2016  ,25174,Alaska
2017  ,23677,Alaska
1960  ,112809,Alabama
1961  ,118021,Alabama
1962  ,125564,Alabama
1963  ,112682,Alabama
1964  ,137992,Alabama
1965  ,121888,Alabama
1966  ,121238,Alabama
1967  ,144384,Alabama
1968  ,129673,Alabama
1969  ,131856,Alabama
1970  ,132471,Alabama
1971  ,158182,Alabama
1972  ,164946,Alabama
1973  ,181706,Alabama
1974  ,166734,Alabama
1975  ,184701,Alabama
1976  ,160994,Alabama
1977  ,174751,Alabama
1978  ,148341,Alabama
1979  ,190737,Alabama
1980  ,238766,Alabama
1981  ,213355,Alabama
1982  ,265453,Alabama
1983  ,281940,Alabama
1984  ,287856,Alabama
1985  ,247353,Alabama
1986  ,213815,Alabama
1987  ,229572,Alabama
1988  ,213088,Alabama
1989  ,302389,Alabama
1990  ,251667,Alabama
1991  ,255590,Alabama
1992  ,255014,Alabama
1993  ,268147,Alabama
1994  ,332532,Alabama
1995  ,320101,Alabama
1996  ,323372,Alabama
1997  ,299675,Alabama
1998  ,317065,Alabama
1999  ,290195,Alabama
2000  ,263303,Alabama
2001  ,251523,Alabama
2002  ,252689,Alabama
2003  ,283428,Alabama
2004  ,290697,Alabama
2005  ,279600,Alabama
2006  ,266153,Alabama
2007  ,228160,Alabama
2008  ,233379,Alabama
2009  ,264487,Alabama
2010  ,242243,Alabama
2011  ,255849,Alabama
2012  ,242062,Alabama
2013  ,310497,Alabama
2014  ,268440,Alabama
2015  ,257022,Alabama
2016  ,228840,Alabama
2017  ,255547,Alabama
1960  ,48104,Arkansas
1961  ,51144,Arkansas
1962  ,47637,Arkansas
1963  ,41897,Arkansas
1964  ,42732,Arkansas
1965  ,46425,Arkansas
1966  ,51697,Arkansas
1967  ,46124,Arkansas
1968  ,64986,Arkansas
1969  ,64813,Arkansas
1970  ,56933,Arkansas
1971  ,53579,Arkansas
1972  ,53917,Arkansas
1973  ,81723,Arkansas
1974  ,81339,Arkansas
1975  ,71589,Arkansas
1976  ,62300,Arkansas
1977  ,69746,Arkansas
1978  ,77088,Arkansas
1979  ,80773,Arkansas
1980  ,69996,Arkansas
1981  ,68190,Arkansas
1982  ,77582,Arkansas
1983  ,95310,Arkansas
1984  ,91421,Arkansas
1985  ,109186,Arkansas
1986  ,91234,Arkansas
1987  ,86688,Arkansas
1988  ,92546,Arkansas
1989  ,119759,Arkansas
1990  ,109997,Arkansas
1991  ,109823,Arkansas
1992  ,112587,Arkansas
1993  ,133646,Arkansas
1994  ,119581,Arkansas
1995  ,117474,Arkansas
1996  ,118017,Arkansas
1997  ,124045,Arkansas
1998  ,114927,Arkansas
1999  ,110822,Arkansas
2000  ,108634,Arkansas
2001  ,94001,Arkansas
2002  ,108618,Arkansas
2003  ,107905,Arkansas
2004  ,112915,Arkansas
2005  ,112451,Arkansas
2006  ,99990,Arkansas
2007  ,120733,Arkansas
2008  ,123354,Arkansas
2009  ,124205,Arkansas
2010  ,125229,Arkansas
2011  ,121171,Arkansas
2012  ,111565,Arkansas
2013  ,116588,Arkansas
2014  ,116381,Arkansas
2015  ,113410,Arkansas
2016  ,110079,Arkansas
2017  ,109448,Arkansas
1960  ,36181,Arizona
1961  ,35083,Arizona
1962  ,34533,Arizona
1963  ,34861,Arizona
1964  ,34271,Arizona
1965  ,50095,Arizona
1966  ,58060,Arizona
1967  ,56423,Arizona
1968  ,63456,Arizona
1969  ,67840,Arizona
1970  ,68919,Arizona
1971  ,74136,Arizona
