,Total energy consumption (Billion Btu),State
1960  ,61433,Alaska
1961  ,72173,Alaska
1962  ,78812,Alaska
1963  ,80788,Alaska
1964  ,85067,Alaska
1965  ,87782,Alaska
1966  ,102696,Alaska
1967  ,115172,Alaska
1968  ,122533,Alaska
1969  ,156631,Alaska
1970  ,182039,Alaska
1971  ,200962,Alaska
1972  ,214377,Alaska
1973  ,196965,Alaska
1974  ,201488,Alaska
1975  ,232172,Alaska
1976  ,254649,Alaska
1977  ,293489,Alaska
1978  ,324010,Alaska
1979  ,299774,Alaska
1980  ,295745,Alaska
1981  ,279661,Alaska
1982  ,409057,Alaska
1983  ,437627,Alaska
1984  ,482889,Alaska
1985  ,474429,Alaska
1986  ,504252,Alaska
1987  ,499211,Alaska
1988  ,521398,Alaska
1989  ,576192,Alaska
1990  ,584082,Alaska
1991  ,602660,Alaska
1992  ,627237,Alaska
1993  ,623613,Alaska
1994  ,623042,Alaska
1995  ,704062,Alaska
1996  ,718749,Alaska
1997  ,708741,Alaska
1998  ,723206,Alaska
1999  ,725331,Alaska
2000  ,742061,Alaska
2001  ,735738,Alaska
2002  ,732897,Alaska
2003  ,733462,Alaska
2004  ,775000,Alaska
2005  ,797659,Alaska
2006  ,746273,Alaska
2007  ,722978,Alaska
2008  ,650286,Alaska
2009  ,639557,Alaska
2010  ,655575,Alaska
2011  ,655820,Alaska
2012  ,651177,Alaska
2013  ,618287,Alaska
2014  ,605257,Alaska
2015  ,623778,Alaska
2016  ,607651,Alaska
2017  ,609779,Alaska
1960  ,866594,Alabama
1961  ,831311,Alabama
1962  ,881239,Alabama
1963  ,913155,Alabama
1964  ,979212,Alabama
1965  ,1044616,Alabama
1966  ,1088204,Alabama
1967  ,1138573,Alabama
1968  ,1246669,Alabama
1969  ,1343138,Alabama
1970  ,1393497,Alabama
1971  ,1384940,Alabama
1972  ,1478039,Alabama
1973  ,1527209,Alabama
1974  ,1547657,Alabama
1975  ,1515130,Alabama
1976  ,1551806,Alabama
1977  ,1623443,Alabama
1978  ,1638359,Alabama
1979  ,1648767,Alabama
1980  ,1644874,Alabama
1981  ,1604035,Alabama
1982  ,1499050,Alabama
1983  ,1445946,Alabama
1984  ,1544598,Alabama
1985  ,1519675,Alabama
1986  ,1504733,Alabama
1987  ,1582639,Alabama
1988  ,1651726,Alabama
1989  ,1683173,Alabama
1990  ,1665451,Alabama
1991  ,1682843,Alabama
1992  ,1753322,Alabama
1993  ,1805267,Alabama
1994  ,1897364,Alabama
1995  ,1971541,Alabama
1996  ,2004503,Alabama
1997  ,1972007,Alabama
1998  ,2017820,Alabama
1999  ,2060734,Alabama
2000  ,2110818,Alabama
2001  ,1917019,Alabama
2002  ,1977985,Alabama
2003  ,1969758,Alabama
2004  ,2083052,Alabama
2005  ,2064521,Alabama
2006  ,2102014,Alabama
2007  ,2085243,Alabama
2008  ,2002434,Alabama
2009  ,1800085,Alabama
2010  ,1942109,Alabama
