,Total energy production (Billion Btu),State
1960  ,21554,Alaska
1961  ,56144,Alaska
1962  ,82748,Alaska
1963  ,87933,Alaska
1964  ,90198,Alaska
1965  ,94316,Alaska
1966  ,117441,Alaska
1967  ,206395,Alaska
1968  ,421679,Alaska
1969  ,499139,Alaska
1970  ,615018,Alaska
1971  ,603479,Alaska
1972  ,569655,Alaska
1973  ,572451,Alaska
1974  ,560546,Alaska
1975  ,589124,Alaska
1976  ,557284,Alaska
1977  ,1195269,Alaska
1978  ,2829135,Alaska
1979  ,3211020,Alaska
1980  ,3684570,Alaska
1981  ,3673128,Alaska
1982  ,3876802,Alaska
1983  ,3928071,Alaska
1984  ,3976402,Alaska
1985  ,4235177,Alaska
1986  ,4302636,Alaska
1987  ,4592698,Alaska
1988  ,4752822,Alaska
1989  ,4446809,Alaska
1990  ,4232243,Alaska
1991  ,4348221,Alaska
1992  ,4194115,Alaska
1993  ,3892714,Alaska
1994  ,3970248,Alaska
1995  ,3738081,Alaska
1996  ,3559488,Alaska
1997  ,3333397,Alaska
1998  ,3068632,Alaska
1999  ,2798849,Alaska
2000  ,2647192,Alaska
2001  ,2632078,Alaska
2002  ,2659615,Alaska
2003  ,2661422,Alaska
2004  ,2513924,Alaska
2005  ,2416187,Alaska
2006  ,2101391,Alaska
2007  ,2052850,Alaska
2008  ,1933836,Alaska
2009  ,1854325,Alaska
2010  ,1739474,Alaska
2011  ,1643302,Alaska
2012  ,1564474,Alaska
2013  ,1514153,Alaska
2014  ,1475225,Alaska
2015  ,1429955,Alaska
2016  ,1434186,Alaska
2017  ,1453518,Alaska
1960  ,474228,Alabama
1961  ,474778,Alabama
1962  ,484723,Alabama
1963  ,469027,Alabama
1964  ,541262,Alabama
1965  ,532429,Alabama
1966  ,516640,Alabama
1967  ,566870,Alabama
1968  ,577172,Alabama
1969  ,604552,Alabama
1970  ,679413,Alabama
1971  ,644188,Alabama
1972  ,736766,Alabama
1973  ,718192,Alabama
1974  ,807059,Alabama
1975  ,867537,Alabama
1976  ,845007,Alabama
1977  ,1056876,Alabama
1978  ,1096628,Alabama
1979  ,1218659,Alabama
1980  ,1332307,Alabama
1981  ,1276653,Alabama
1982  ,1420717,Alabama
1983  ,1343951,Alabama
1984  ,1435784,Alabama
1985  ,1320803,Alabama
1986  ,1211898,Alabama
1987  ,1223046,Alabama
1988  ,1262402,Alabama
1989  ,1360061,Alabama
1990  ,1341945,Alabama
1991  ,1376048,Alabama
1992  ,1484738,Alabama
1993  ,1484135,Alabama
1994  ,1637316,Alabama
1995  ,1649237,Alabama
1996  ,1740017,Alabama
1997  ,1708289,Alabama
1998  ,1672165,Alabama
1999  ,1577633,Alabama
2000  ,1538212,Alabama
2001  ,1483893,Alabama
2002  ,1485681,Alabama
2003  ,1520518,Alabama
2004  ,1543168,Alabama
2005  ,1501696,Alabama
2006  ,1412191,Alabama
2007  ,1406795,Alabama
2008  ,1481684,Alabama
2009  ,1448225,Alabama
2010  ,1429509,Alabama
2011  ,1410477,Alabama
2012  ,1443280,Alabama
2013  ,1477771,Alabama
2014  ,1366773,Alabama
2015  ,1265071,Alabama
2016  ,1116484,Alabama
2017  ,1227157,Alabama
1960  ,289299,Arkansas
1961  ,291209,Arkansas
1962  ,282213,Arkansas
1963  ,284502,Arkansas
1964  ,281323,Arkansas
1965  ,287541,Arkansas
1966  ,303926,Arkansas
1967  ,293088,Arkansas
1968  ,344571,Arkansas
1969  ,349632,Arkansas
1970  ,355074,Arkansas
1971  ,343114,Arkansas
1972  ,340242,Arkansas
