,Year,Total energy production
1960  ,474228,AL
1961  ,474778,AL
1962  ,484723,AL
1963  ,469027,AL
1964  ,541262,AL
1965  ,532429,AL
1966  ,516640,AL
1967  ,566870,AL
1968  ,577172,AL
1969  ,604552,AL
1970  ,679413,AL
1971  ,644188,AL
1972  ,736766,AL
1973  ,718192,AL
1974  ,807059,AL
1975  ,867537,AL
1976  ,845007,AL
1977  ,1056876,AL
1978  ,1096628,AL
1979  ,1218659,AL
1980  ,1332307,AL
1981  ,1276653,AL
1982  ,1420717,AL
1983  ,1343951,AL
1984  ,1435784,AL
1985  ,1320803,AL
1986  ,1211898,AL
1987  ,1223046,AL
1988  ,1262402,AL
1989  ,1360061,AL
1990  ,1341945,AL
1991  ,1376048,AL
1992  ,1484738,AL
1993  ,1484135,AL
1994  ,1637316,AL
1995  ,1649237,AL
1996  ,1740017,AL
1997  ,1708289,AL
1998  ,1672165,AL
1999  ,1577633,AL
2000  ,1538212,AL
2001  ,1483893,AL
2002  ,1485681,AL
2003  ,1520518,AL
2004  ,1543168,AL
2005  ,1501696,AL
2006  ,1412191,AL
2007  ,1406795,AL
2008  ,1481684,AL
2009  ,1448225,AL
2010  ,1429509,AL
2011  ,1410477,AL
2012  ,1443280,AL
2013  ,1477771,AL
2014  ,1366773,AL
2015  ,1265071,AL
2016  ,1116484,AL
2017  ,1227157,AL
1960  ,21554,AK
1961  ,56144,AK
1962  ,82748,AK
1963  ,87933,AK
1964  ,90198,AK
1965  ,94316,AK
1966  ,117441,AK
1967  ,206395,AK
1968  ,421679,AK
1969  ,499139,AK
1970  ,615018,AK
1971  ,603479,AK
1972  ,569655,AK
1973  ,572451,AK
1974  ,560546,AK
1975  ,589124,AK
1976  ,557284,AK
1977  ,1195269,AK
1978  ,2829135,AK
1979  ,3211020,AK
1980  ,3684570,AK
1981  ,3673128,AK
1982  ,3876802,AK
1983  ,3928071,AK
1984  ,3976402,AK
1985  ,4235177,AK
1986  ,4302636,AK
1987  ,4592698,AK
1988  ,4752822,AK
1989  ,4446809,AK
1990  ,4232243,AK
1991  ,4348221,AK
1992  ,4194115,AK
1993  ,3892714,AK
1994  ,3970248,AK
1995  ,3738081,AK
1996  ,3559488,AK
1997  ,3333397,AK
1998  ,3068632,AK
1999  ,2798849,AK
2000  ,2647192,AK
2001  ,2632078,AK
2002  ,2659615,AK
2003  ,2661422,AK
2004  ,2513924,AK
2005  ,2416187,AK
2006  ,2101391,AK
2007  ,2052850,AK
2008  ,1933836,AK
2009  ,1854325,AK
2010  ,1739474,AK
2011  ,1643302,AK
2012  ,1564474,AK
2013  ,1514153,AK
2014  ,1475225,AK
2015  ,1429955,AK
2016  ,1434186,AK
2017  ,1453518,AK
1960  ,36737,AZ
1961  ,35506,AZ
1962  ,35003,AZ
1963  ,36668,AZ
1964  ,36786,AZ
1965  ,53947,AZ
1966  ,62173,AZ
1967  ,74733,AZ
1968  ,83935,AZ
1969  ,83154,AZ
1970  ,83347,AZ
1971  ,107529,AZ
1972  ,146644,AZ
1973  ,155841,AZ
1974  ,228968,AZ
1975  ,239058,AZ
1976  ,317800,AZ
1977  ,322606,AZ
1978  ,282521,AZ
1979  ,337892,AZ
1980  ,363380,AZ
1981  ,351173,AZ
