Zone,shape id,point id,longitude,latitude
Zone 61,0,0,-80.16562,26.2742442
Zone 61,0,1,-80.13347641,26.27493687
Zone 61,0,2,-80.13356224,26.26931845
Zone 61,0,3,-80.13163105,26.26924149
Zone 61,0,4,-80.13145939,26.26712489
Zone 61,0,5,-80.13154522,26.26824092
Zone 61,0,6,-80.13145939,26.26704792
Zone 61,0,7,-80.13030067,26.26700944
Zone 61,0,8,-80.12806907,26.26635521
Zone 61,0,9,-80.12592331,26.26927997
Zone 61,0,10,-80.12523666,26.27493687
Zone 61,0,11,-80.12318778,26.27501112
Zone 61,0,12,-80.12325215,26.26554434
Zone 61,0,13,-80.12325215,26.26460146
Zone 61,0,14,-80.11670756,26.26477464
Zone 61,0,15,-80.12350682,26.24088874
Zone 61,0,16,-80.13656052,26.24085019
Zone 61,0,17,-80.13639561,26.23419164
Zone 61,0,18,-80.15166706,26.24359171
Zone 61,0,19,-80.15172156,26.24895457
Zone 61,0,20,-80.16446474,26.24883062
Zone 61,0,21,-80.16565666,26.25134137
Zone 61,0,22,-80.1660429,26.25834619
Zone 61,0,23,-80.16698703,26.26196389
Zone 61,0,24,-80.16797409,26.26458089
Zone 61,0,25,-80.16818866,26.26812143
Zone 61,0,26,-80.16767368,26.26939138
Zone 61,0,27,-80.16544208,26.27046891
Zone 103,1,0,-80.0948478,26.29384604
Zone 103,1,1,-80.10862362,26.29361519
Zone 103,1,2,-80.11385929,26.27510717
Zone 103,1,3,-80.11459285,26.27535064
Zone 103,1,4,-80.13334686,26.27527368
Zone 103,1,5,-80.13343269,26.26942438
Zone 103,1,6,-80.13158733,26.26930893
Zone 103,1,7,-80.13132984,26.26711537
Zone 103,1,8,-80.13025696,26.26711537
Zone 103,1,9,-80.12819702,26.26646114
Zone 103,1,10,-80.12600834,26.26923197
Zone 103,1,11,-80.12536461,26.27496583
Zone 103,1,12,-80.12326175,26.27511975
Zone 103,1,13,-80.12313301,26.26465237
Zone 103,1,14,-80.1166427,26.26481862
Zone 103,1,15,-80.1179087,26.26041204
Zone 103,1,16,-80.1170504,26.2601234
